Vardas              Pavarde             ND1                 ND2                 Egz.                
Vardas1             Pavarde1            1                   9                   9                   
Vardas2             Pavarde2            9                   4                   2                   
Vardas3             Pavarde3            4                   6                   8                   
Vardas4             Pavarde4            10                  1                   3                   
Vardas5             Pavarde5            6                   2                   3                   
Vardas6             Pavarde6            6                   8                   3                   
Vardas7             Pavarde7            6                   1                   3                   
Vardas8             Pavarde8            1                   4                   7                   
Vardas9             Pavarde9            4                   4                   4                   
Vardas10            Pavarde10           3                   9                   1                   
Vardas11            Pavarde11           2                   7                   5                   
Vardas12            Pavarde12           8                   10                  9                   
Vardas13            Pavarde13           4                   1                   4                   
Vardas14            Pavarde14           1                   6                   1                   
Vardas15            Pavarde15           4                   9                   7                   
Vardas16            Pavarde16           4                   8                   8                   
Vardas17            Pavarde17           7                   1                   3                   
Vardas18            Pavarde18           6                   10                  2                   
Vardas19            Pavarde19           9                   3                   4                   
Vardas20            Pavarde20           7                   4                   10                  
Vardas21            Pavarde21           1                   2                   10                  
Vardas22            Pavarde22           10                  9                   2                   
Vardas23            Pavarde23           3                   3                   9                   
Vardas24            Pavarde24           9                   9                   10                  
Vardas25            Pavarde25           9                   2                   7                   
Vardas26            Pavarde26           6                   1                   6                   
Vardas27            Pavarde27           6                   9                   7                   
Vardas28            Pavarde28           4                   10                  8                   
Vardas29            Pavarde29           5                   5                   10                  
Vardas30            Pavarde30           6                   2                   1                   
Vardas31            Pavarde31           6                   3                   5                   
Vardas32            Pavarde32           6                   7                   8                   
Vardas33            Pavarde33           2                   4                   9                   
Vardas34            Pavarde34           4                   3                   1                   
Vardas35            Pavarde35           10                  5                   5                   
Vardas36            Pavarde36           4                   8                   10                  
Vardas37            Pavarde37           9                   1                   4                   
Vardas38            Pavarde38           10                  8                   8                   
Vardas39            Pavarde39           10                  5                   10                  
Vardas40            Pavarde40           6                   4                   9                   
Vardas41            Pavarde41           9                   7                   9                   
Vardas42            Pavarde42           4                   7                   6                   
Vardas43            Pavarde43           9                   8                   7                   
Vardas44            Pavarde44           9                   5                   5                   
Vardas45            Pavarde45           4                   5                   9                   
Vardas46            Pavarde46           2                   6                   4                   
Vardas47            Pavarde47           10                  7                   4                   
Vardas48            Pavarde48           2                   8                   1                   
Vardas49            Pavarde49           2                   2                   8                   
Vardas50            Pavarde50           9                   8                   8                   
Vardas51            Pavarde51           6                   4                   7                   
Vardas52            Pavarde52           9                   6                   1                   
Vardas53            Pavarde53           3                   2                   3                   
Vardas54            Pavarde54           3                   4                   1                   
Vardas55            Pavarde55           9                   3                   9                   
Vardas56            Pavarde56           3                   2                   5                   
Vardas57            Pavarde57           10                  7                   4                   
Vardas58            Pavarde58           5                   6                   10                  
Vardas59            Pavarde59           7                   1                   2                   
Vardas60            Pavarde60           4                   9                   10                  
Vardas61            Pavarde61           9                   5                   6                   
Vardas62            Pavarde62           8                   2                   8                   
Vardas63            Pavarde63           9                   10                  3                   
Vardas64            Pavarde64           9                   4                   3                   
Vardas65            Pavarde65           5                   6                   4                   
Vardas66            Pavarde66           5                   6                   5                   
Vardas67            Pavarde67           5                   6                   1                   
Vardas68            Pavarde68           8                   5                   2                   
Vardas69            Pavarde69           7                   6                   10                  
Vardas70            Pavarde70           2                   8                   2                   
Vardas71            Pavarde71           2                   3                   1                   
