Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 Egz.                
Vardas1             Pavarde1            2                   3                   5                   5                   8                   6                   
Vardas2             Pavarde2            4                   9                   10                  4                   8                   5                   
Vardas3             Pavarde3            4                   8                   2                   1                   8                   10                  
Vardas4             Pavarde4            5                   9                   6                   2                   4                   3                   
Vardas5             Pavarde5            4                   4                   6                   2                   3                   4                   
Vardas6             Pavarde6            5                   3                   9                   8                   5                   10                  
Vardas7             Pavarde7            9                   2                   7                   9                   8                   5                   
Vardas8             Pavarde8            10                  10                  5                   6                   1                   1                   
Vardas9             Pavarde9            10                  2                   10                  10                  7                   10                  
Vardas10            Pavarde10           4                   8                   10                  10                  5                   4                   
Vardas11            Pavarde11           1                   8                   2                   3                   10                  7                   
Vardas12            Pavarde12           7                   5                   10                  5                   1                   3                   
Vardas13            Pavarde13           7                   7                   8                   5                   5                   8                   
Vardas14            Pavarde14           8                   9                   6                   9                   5                   2                   
Vardas15            Pavarde15           10                  6                   3                   1                   3                   9                   
Vardas16            Pavarde16           9                   5                   5                   7                   3                   9                   
Vardas17            Pavarde17           7                   5                   4                   8                   6                   9                   
Vardas18            Pavarde18           10                  5                   10                  10                  3                   4                   
Vardas19            Pavarde19           2                   2                   7                   1                   2                   2                   
Vardas20            Pavarde20           3                   2                   4                   2                   3                   2                   
Vardas21            Pavarde21           8                   2                   2                   3                   8                   10                  
Vardas22            Pavarde22           2                   9                   8                   9                   5                   9                   
Vardas23            Pavarde23           1                   7                   8                   9                   8                   8                   
Vardas24            Pavarde24           8                   3                   7                   5                   4                   9                   
Vardas25            Pavarde25           1                   5                   2                   8                   8                   3                   
Vardas26            Pavarde26           2                   8                   3                   2                   10                  6                   
Vardas27            Pavarde27           9                   8                   5                   2                   3                   3                   
Vardas28            Pavarde28           10                  5                   3                   10                  8                   6                   
Vardas29            Pavarde29           8                   9                   3                   9                   2                   8                   
Vardas30            Pavarde30           7                   6                   9                   4                   4                   2                   
Vardas31            Pavarde31           3                   10                  3                   7                   6                   8                   
Vardas32            Pavarde32           5                   3                   1                   9                   6                   10                  
Vardas33            Pavarde33           9                   10                  9                   4                   3                   8                   
Vardas34            Pavarde34           4                   5                   3                   3                   2                   9                   
Vardas35            Pavarde35           10                  8                   10                  2                   5                   4                   
Vardas36            Pavarde36           9                   4                   4                   4                   3                   3                   
Vardas37            Pavarde37           9                   2                   7                   5                   5                   9                   
Vardas38            Pavarde38           7                   9                   5                   5                   3                   7                   
Vardas39            Pavarde39           5                   5                   9                   10                  8                   8                   
Vardas40            Pavarde40           3                   7                   2                   7                   9                   9                   
Vardas41            Pavarde41           6                   4                   9                   10                  10                  5                   
Vardas42            Pavarde42           6                   3                   7                   2                   6                   8                   
Vardas43            Pavarde43           9                   9                   4                   6                   2                   2                   
Vardas44            Pavarde44           3                   4                   10                  6                   9                   1                   
Vardas45            Pavarde45           10                  2                   6                   5                   1                   9                   
Vardas46            Pavarde46           10                  2                   5                   3                   9                   6                   
Vardas47            Pavarde47           4                   6                   9                   7                   9                   5                   
Vardas48            Pavarde48           4                   4                   8                   6                   3                   7                   
Vardas49            Pavarde49           2                   10                  9                   3                   5                   2                   
Vardas50            Pavarde50           5                   2                   7                   5                   4                   7                   
Vardas51            Pavarde51           4                   3                   7                   1                   9                   7                   
Vardas52            Pavarde52           3                   2                   6                   8                   6                   6                   
Vardas53            Pavarde53           6                   10                  2                   5                   3                   10                  
Vardas54            Pavarde54           2                   4                   2                   4                   6                   5                   
Vardas55            Pavarde55           7                   6                   3                   4                   2                   10                  
Vardas56            Pavarde56           3                   1                   3                   10                  8                   8                   
Vardas57            Pavarde57           10                  10                  10                  5                   1                   5                   
Vardas58            Pavarde58           1                   5                   7                   1                   8                   8                   
Vardas59            Pavarde59           7                   8                   2                   9                   1                   4                   
Vardas60            Pavarde60           10                  2                   1                   1                   1                   1                   
Vardas61            Pavarde61           10                  10                  3                   5                   3                   2                   
Vardas62            Pavarde62           8                   10                  1                   6                   1                   2                   
Vardas63            Pavarde63           10                  9                   10                  7                   4                   9                   
Vardas64            Pavarde64           7                   4                   9                   5                   1                   5                   
Vardas65            Pavarde65           6                   8                   1                   4                   5                   5                   
Vardas66            Pavarde66           7                   5                   4                   6                   6                   1                   
Vardas67            Pavarde67           2                   4                   9                   7                   3                   3                   
Vardas68            Pavarde68           2                   2                   10                  1                   10                  4                   
Vardas69            Pavarde69           7                   7                   6                   9                   10                  2                   
Vardas70            Pavarde70           3                   1                   4                   5                   3                   10                  
Vardas71            Pavarde71           6                   10                  6                   1                   7                   4                   
Vardas72            Pavarde72           2                   2                   7                   9                   1                   5                   
Vardas73            Pavarde73           9                   9                   9                   5                   6                   4                   
Vardas74            Pavarde74           9                   10                  3                   1                   6                   7                   
Vardas75            Pavarde75           3                   3                   2                   1                   9                   6                   
Vardas76            Pavarde76           8                   5                   6                   9                   4                   8                   
Vardas77            Pavarde77           10                  2                   5                   3                   6                   3                   
Vardas78            Pavarde78           6                   9                   5                   10                  2                   1                   
Vardas79            Pavarde79           3                   8                   10                  7                   10                  4                   
Vardas80            Pavarde80           10                  8                   2                   10                  4                   1                   
Vardas81            Pavarde81           6                   6                   8                   9                   8                   9                   
Vardas82            Pavarde82           8                   6                   4                   3                   3                   7                   
Vardas83            Pavarde83           6                   5                   6                   10                  5                   8                   
Vardas84            Pavarde84           1                   5                   4                   2                   9                   4                   
Vardas85            Pavarde85           9                   5                   2                   5                   8                   5                   
Vardas86            Pavarde86           9                   9                   9                   2                   9                   4                   
Vardas87            Pavarde87           2                   6                   1                   7                   6                   10                  
Vardas88            Pavarde88           8                   10                  8                   10                  1                   6                   
Vardas89            Pavarde89           5                   3                   7                   10                  6                   9                   
Vardas90            Pavarde90           9                   10                  7                   4                   1                   8                   
Vardas91            Pavarde91           1                   6                   1                   8                   10                  10                  
Vardas92            Pavarde92           3                   2                   1                   7                   3                   4                   
Vardas93            Pavarde93           5                   10                  10                  7                   2                   8                   
Vardas94            Pavarde94           5                   3                   9                   10                  3                   7                   
Vardas95            Pavarde95           6                   5                   4                   2                   3                   6                   
Vardas96            Pavarde96           8                   5                   10                  1                   3                   8                   
Vardas97            Pavarde97           10                  10                  5                   9                   10                  1                   
Vardas98            Pavarde98           10                  5                   3                   1                   4                   2                   
Vardas99            Pavarde99           9                   4                   9                   10                  6                   8                   
Vardas100           Pavarde100          7                   6                   2                   9                   10                  6                   
Vardas101           Pavarde101          6                   2                   7                   3                   5                   3                   
Vardas102           Pavarde102          6                   5                   9                   1                   7                   4                   
Vardas103           Pavarde103          1                   10                  2                   4                   1                   2                   
Vardas104           Pavarde104          4                   3                   7                   3                   1                   9                   
Vardas105           Pavarde105          2                   8                   10                  3                   7                   10                  
Vardas106           Pavarde106          1                   7                   9                   8                   9                   9                   
Vardas107           Pavarde107          4                   5                   6                   10                  1                   8                   
Vardas108           Pavarde108          10                  2                   9                   1                   1                   7                   
Vardas109           Pavarde109          8                   10                  5                   3                   9                   1                   
Vardas110           Pavarde110          5                   8                   10                  6                   4                   8                   
Vardas111           Pavarde111          6                   6                   7                   1                   9                   8                   
Vardas112           Pavarde112          2                   5                   9                   6                   6                   2                   
Vardas113           Pavarde113          10                  5                   1                   7                   2                   1                   
Vardas114           Pavarde114          1                   7                   9                   9                   6                   2                   
Vardas115           Pavarde115          3                   2                   10                  7                   10                  8                   
Vardas116           Pavarde116          7                   3                   2                   10                  9                   2                   
Vardas117           Pavarde117          2                   7                   4                   7                   3                   4                   
Vardas118           Pavarde118          2                   1                   5                   3                   2                   3                   
Vardas119           Pavarde119          3                   4                   4                   3                   5                   8                   
Vardas120           Pavarde120          8                   2                   8                   1                   7                   5                   
Vardas121           Pavarde121          2                   9                   3                   6                   10                  5                   
Vardas122           Pavarde122          1                   9                   7                   10                  7                   4                   
Vardas123           Pavarde123          4                   3                   4                   9                   4                   3                   
Vardas124           Pavarde124          1                   2                   10                  7                   1                   3                   
Vardas125           Pavarde125          1                   9                   10                  5                   7                   3                   
Vardas126           Pavarde126          9                   3                   9                   6                   9                   7                   
Vardas127           Pavarde127          10                  3                   5                   8                   1                   10                  
Vardas128           Pavarde128          9                   8                   10                  10                  2                   1                   
Vardas129           Pavarde129          2                   9                   7                   3                   4                   5                   
Vardas130           Pavarde130          4                   1                   8                   10                  6                   2                   
Vardas131           Pavarde131          1                   7                   5                   3                   8                   10                  
Vardas132           Pavarde132          5                   6                   1                   9                   10                  7                   
Vardas133           Pavarde133          3                   8                   1                   9                   3                   4                   
Vardas134           Pavarde134          7                   5                   3                   10                  7                   5                   
Vardas135           Pavarde135          10                  10                  5                   5                   8                   4                   
Vardas136           Pavarde136          9                   6                   1                   8                   5                   3                   
Vardas137           Pavarde137          5                   6                   2                   9                   5                   1                   
Vardas138           Pavarde138          2                   10                  4                   10                  9                   5                   
Vardas139           Pavarde139          6                   6                   3                   7                   4                   5                   
Vardas140           Pavarde140          7                   10                  7                   8                   4                   2                   
Vardas141           Pavarde141          2                   9                   3                   3                   3                   10                  
Vardas142           Pavarde142          9                   7                   8                   10                  2                   8                   
Vardas143           Pavarde143          1                   2                   10                  8                   3                   6                   
Vardas144           Pavarde144          6                   5                   8                   10                  9                   3                   
Vardas145           Pavarde145          6                   6                   8                   10                  8                   2                   
Vardas146           Pavarde146          5                   10                  5                   1                   9                   1                   
Vardas147           Pavarde147          8                   1                   2                   4                   8                   2                   
Vardas148           Pavarde148          10                  7                   5                   3                   7                   6                   
Vardas149           Pavarde149          9                   5                   5                   4                   10                  10                  
Vardas150           Pavarde150          10                  8                   2                   1                   6                   1                   
Vardas151           Pavarde151          3                   5                   10                  9                   10                  8                   
Vardas152           Pavarde152          5                   8                   10                  2                   6                   10                  
Vardas153           Pavarde153          9                   5                   10                  8                   4                   4                   
Vardas154           Pavarde154          3                   6                   10                  6                   10                  10                  
Vardas155           Pavarde155          1                   4                   4                   1                   3                   1                   
Vardas156           Pavarde156          5                   8                   1                   10                  7                   4                   
Vardas157           Pavarde157          2                   1                   10                  5                   10                  10                  
Vardas158           Pavarde158          8                   3                   8                   2                   10                  4                   
Vardas159           Pavarde159          7                   2                   1                   2                   3                   9                   
Vardas160           Pavarde160          9                   7                   9                   6                   8                   10                  
Vardas161           Pavarde161          8                   3                   5                   1                   6                   7                   
Vardas162           Pavarde162          1                   6                   8                   3                   6                   5                   
Vardas163           Pavarde163          10                  7                   7                   8                   10                  1                   
Vardas164           Pavarde164          8                   10                  5                   9                   9                   8                   
Vardas165           Pavarde165          4                   1                   8                   5                   2                   6                   
Vardas166           Pavarde166          9                   1                   9                   4                   4                   2                   
Vardas167           Pavarde167          9                   9                   10                  5                   1                   2                   
Vardas168           Pavarde168          8                   7                   5                   6                   8                   7                   
Vardas169           Pavarde169          8                   5                   4                   10                  7                   4                   
Vardas170           Pavarde170          10                  9                   7                   9                   9                   5                   
Vardas171           Pavarde171          7                   4                   2                   4                   1                   8                   
Vardas172           Pavarde172          3                   4                   6                   5                   5                   7                   
Vardas173           Pavarde173          8                   4                   10                  10                  8                   6                   
Vardas174           Pavarde174          4                   3                   5                   6                   3                   2                   
Vardas175           Pavarde175          1                   10                  8                   4                   7                   5                   
Vardas176           Pavarde176          9                   3                   6                   6                   6                   4                   
Vardas177           Pavarde177          6                   10                  6                   9                   2                   9                   
Vardas178           Pavarde178          1                   5                   4                   5                   9                   3                   
Vardas179           Pavarde179          3                   5                   9                   9                   4                   3                   
Vardas180           Pavarde180          3                   7                   2                   1                   8                   7                   
Vardas181           Pavarde181          7                   9                   2                   7                   10                  10                  
Vardas182           Pavarde182          1                   2                   6                   9                   4                   8                   
Vardas183           Pavarde183          10                  4                   6                   7                   7                   6                   
Vardas184           Pavarde184          3                   3                   7                   9                   4                   2                   
Vardas185           Pavarde185          6                   1                   1                   3                   10                  2                   
Vardas186           Pavarde186          5                   6                   8                   10                  4                   4                   
Vardas187           Pavarde187          6                   4                   2                   8                   10                  3                   
Vardas188           Pavarde188          5                   6                   6                   6                   10                  5                   
Vardas189           Pavarde189          4                   7                   3                   9                   6                   1                   
Vardas190           Pavarde190          5                   2                   9                   6                   5                   6                   
Vardas191           Pavarde191          7                   4                   10                  1                   1                   7                   
Vardas192           Pavarde192          8                   5                   9                   2                   1                   8                   
Vardas193           Pavarde193          1                   9                   8                   6                   9                   10                  
Vardas194           Pavarde194          5                   9                   10                  6                   7                   2                   
Vardas195           Pavarde195          7                   3                   9                   5                   6                   9                   
Vardas196           Pavarde196          10                  10                  10                  3                   10                  3                   
Vardas197           Pavarde197          8                   9                   2                   4                   2                   2                   
Vardas198           Pavarde198          2                   6                   2                   7                   7                   4                   
Vardas199           Pavarde199          3                   2                   1                   6                   10                  8                   
Vardas200           Pavarde200          1                   6                   2                   3                   4                   7                   
Vardas201           Pavarde201          2                   1                   10                  10                  10                  4                   
Vardas202           Pavarde202          7                   4                   7                   5                   5                   5                   
Vardas203           Pavarde203          4                   7                   1                   7                   10                  4                   
Vardas204           Pavarde204          8                   8                   5                   7                   9                   3                   
Vardas205           Pavarde205          9                   10                  9                   1                   2                   7                   
Vardas206           Pavarde206          3                   2                   6                   1                   1                   7                   
Vardas207           Pavarde207          2                   10                  6                   4                   10                  9                   
Vardas208           Pavarde208          6                   1                   6                   6                   8                   5                   
Vardas209           Pavarde209          1                   5                   8                   8                   9                   6                   
Vardas210           Pavarde210          9                   10                  6                   8                   7                   10                  
Vardas211           Pavarde211          10                  8                   3                   4                   3                   3                   
Vardas212           Pavarde212          10                  5                   7                   9                   9                   6                   
Vardas213           Pavarde213          8                   1                   9                   10                  6                   7                   
Vardas214           Pavarde214          3                   10                  10                  10                  2                   4                   
Vardas215           Pavarde215          2                   7                   1                   7                   8                   6                   
Vardas216           Pavarde216          4                   3                   9                   3                   10                  1                   
Vardas217           Pavarde217          10                  1                   9                   2                   5                   2                   
Vardas218           Pavarde218          2                   2                   2                   8                   7                   4                   
Vardas219           Pavarde219          3                   8                   8                   9                   6                   9                   
Vardas220           Pavarde220          6                   6                   1                   7                   3                   6                   
Vardas221           Pavarde221          3                   7                   4                   4                   6                   8                   
Vardas222           Pavarde222          7                   8                   2                   6                   3                   6                   
Vardas223           Pavarde223          6                   3                   5                   1                   3                   1                   
Vardas224           Pavarde224          2                   1                   4                   1                   3                   8                   
Vardas225           Pavarde225          8                   3                   5                   6                   1                   1                   
Vardas226           Pavarde226          9                   2                   4                   9                   2                   4                   
Vardas227           Pavarde227          3                   3                   2                   10                  10                  9                   
Vardas228           Pavarde228          2                   6                   10                  5                   4                   9                   
Vardas229           Pavarde229          2                   1                   5                   2                   2                   1                   
Vardas230           Pavarde230          7                   6                   3                   8                   9                   1                   
Vardas231           Pavarde231          3                   4                   9                   7                   6                   2                   
Vardas232           Pavarde232          2                   9                   5                   2                   1                   7                   
Vardas233           Pavarde233          9                   4                   3                   6                   2                   1                   
Vardas234           Pavarde234          1                   10                  9                   10                  10                  6                   
Vardas235           Pavarde235          6                   4                   10                  7                   10                  2                   
Vardas236           Pavarde236          8                   4                   6                   2                   7                   1                   
Vardas237           Pavarde237          2                   8                   3                   10                  10                  1                   
Vardas238           Pavarde238          5                   3                   9                   10                  8                   10                  
Vardas239           Pavarde239          1                   7                   8                   3                   8                   10                  
Vardas240           Pavarde240          9                   9                   7                   10                  5                   9                   
Vardas241           Pavarde241          4                   1                   10                  5                   9                   5                   
Vardas242           Pavarde242          9                   3                   3                   6                   3                   5                   
Vardas243           Pavarde243          6                   8                   2                   5                   3                   6                   
Vardas244           Pavarde244          7                   3                   2                   6                   1                   6                   
Vardas245           Pavarde245          8                   1                   10                  7                   2                   2                   
Vardas246           Pavarde246          9                   9                   10                  10                  1                   8                   
Vardas247           Pavarde247          2                   8                   3                   10                  10                  1                   
Vardas248           Pavarde248          10                  2                   6                   7                   10                  3                   
Vardas249           Pavarde249          8                   4                   4                   4                   2                   8                   
Vardas250           Pavarde250          2                   10                  5                   1                   1                   4                   
Vardas251           Pavarde251          9                   5                   4                   7                   5                   2                   
Vardas252           Pavarde252          3                   2                   10                  10                  6                   2                   
Vardas253           Pavarde253          6                   3                   10                  10                  7                   10                  
Vardas254           Pavarde254          7                   3                   5                   3                   5                   5                   
Vardas255           Pavarde255          3                   8                   10                  9                   4                   4                   
Vardas256           Pavarde256          4                   1                   3                   1                   10                  4                   
Vardas257           Pavarde257          9                   5                   4                   1                   8                   3                   
Vardas258           Pavarde258          8                   1                   10                  10                  6                   1                   
Vardas259           Pavarde259          8                   5                   3                   4                   3                   8                   
Vardas260           Pavarde260          7                   4                   9                   5                   3                   9                   
Vardas261           Pavarde261          6                   3                   3                   4                   2                   5                   
Vardas262           Pavarde262          4                   10                  7                   5                   10                  7                   
Vardas263           Pavarde263          3                   6                   2                   2                   9                   8                   
Vardas264           Pavarde264          6                   1                   6                   4                   1                   4                   
Vardas265           Pavarde265          5                   1                   8                   2                   1                   9                   
Vardas266           Pavarde266          3                   5                   8                   1                   9                   1                   
Vardas267           Pavarde267          8                   5                   7                   1                   10                  4                   
Vardas268           Pavarde268          4                   1                   10                  10                  3                   9                   
Vardas269           Pavarde269          3                   6                   5                   5                   1                   5                   
Vardas270           Pavarde270          5                   1                   2                   9                   7                   9                   
Vardas271           Pavarde271          3                   5                   6                   3                   9                   5                   
Vardas272           Pavarde272          6                   9                   6                   8                   1                   6                   
Vardas273           Pavarde273          7                   7                   10                  9                   10                  5                   
Vardas274           Pavarde274          1                   8                   5                   6                   10                  1                   
Vardas275           Pavarde275          3                   10                  10                  6                   6                   6                   
Vardas276           Pavarde276          8                   7                   2                   8                   2                   4                   
Vardas277           Pavarde277          4                   9                   10                  8                   7                   3                   
